2017-11-17T11:55:25.712727	+022.2C
2017-11-17T11:56:25.726450	+022.3C
2017-11-17T11:57:25.787408	+022.2C
2017-11-17T11:58:25.847922	+022.2C
2017-11-17T11:59:25.867824	+022.2C
2017-11-17T12:00:25.928715	+022.2C
2017-11-17T12:01:38.044955	+022.1C
2017-11-17T12:02:38.073013	+022.1C
2017-11-17T12:03:38.085706	+022.1C
2017-11-17T12:04:38.140378	+022.1C
2017-11-17T12:05:38.201252	+022.1C
2017-11-17T12:06:38.261818	+022.1C
2017-11-17T12:07:38.322919	+022.1C
2017-11-17T12:08:38.383589	+022.1C
2017-11-17T12:09:38.444033	+022.1C
2017-11-17T12:10:38.504481	+022.1C
2017-11-17T12:11:38.565384	+022.1C
2017-11-17T12:12:38.625970	+022.1C
2017-11-17T12:13:38.686888	+022.1C
2017-11-17T12:14:38.713335	+022.1C
2017-11-17T12:15:38.766299	+022.1C
2017-11-17T12:16:38.826718	+022.1C
2017-11-17T12:17:38.887412	+022.1C
2017-11-17T12:18:38.947828	+022.1C
2017-11-17T12:19:39.008271	+022.1C
2017-11-17T12:20:39.068410	+022.1C
2017-11-17T12:21:39.082559	+022.1C
2017-11-17T12:22:39.093178	+022.1C
2017-11-17T12:23:39.097031	+022.1C
2017-11-17T12:24:39.157954	+022.1C
2017-11-17T12:25:39.166910	+022.1C
2017-11-17T12:26:39.227185	+022.1C
2017-11-17T12:27:39.231167	+022.1C
2017-11-17T12:28:39.276270	+022.1C
2017-11-17T12:29:39.295988	+022.1C
2017-11-17T12:30:39.296939	+022.1C
2017-11-17T12:31:39.307876	+022.1C
2017-11-17T12:32:39.368821	+022.1C
2017-11-17T12:33:39.372672	+022.1C
2017-11-17T12:34:39.433119	+022.1C
2017-11-17T12:35:39.494040	+022.1C
2017-11-17T12:36:39.536986	+022.1C
2017-11-17T12:37:39.596856	+022.1C
2017-11-17T12:38:39.657308	+022.1C
2017-11-17T12:39:39.717582	+022.1C
2017-11-17T12:40:39.778449	+022.1C
2017-11-17T12:41:39.839493	+022.1C
2017-11-17T12:42:39.900104	+022.1C
2017-11-17T12:43:39.960581	+022.1C
2017-11-17T12:44:40.002202	+022.1C
2017-11-17T12:45:40.062709	+022.2C
2017-11-17T12:46:40.123568	+022.2C
2017-11-17T12:47:40.171897	+022.2C
2017-11-17T12:48:40.232345	+022.2C
2017-11-17T12:49:40.293205	+022.2C
2017-11-17T12:50:40.295049	+022.2C
2017-11-17T12:51:40.355954	+022.2C
2017-11-17T12:52:40.416550	+022.2C
2017-11-17T12:53:40.450009	+022.2C
2017-11-17T12:54:40.496573	+022.2C
2017-11-17T12:55:40.557698	+022.2C
2017-11-17T12:56:40.586811	+022.2C
2017-11-17T12:57:40.647855	+022.2C
2017-11-17T12:58:40.708937	+022.2C
2017-11-17T12:59:40.720534	+022.2C
2017-11-17T13:00:40.781151	+022.2C
2017-11-17T13:01:40.842086	+022.2C
2017-11-17T13:02:40.901838	+022.2C
2017-11-17T13:03:40.962273	+022.2C
2017-11-17T13:04:41.022925	+022.2C
2017-11-17T13:05:41.083888	+022.2C
